687, 60
711, 961
386, 207
877, 758
291, 706
738, 186
117, 265
275, 554
981, 64
208, 717
455, 770
947, 763
676, 748
91, 683
376, 51
284, 553
790, 804
399, 480
972, 576
139, 946
756, 812
256, 724
349, 721
424, 475
880, 564
503, 235
105, 916
250, 43
498, 384
699, 216
591, 810
592, 874
56, 158
324, 11
210, 728
675, 632
943, 793
677, 593
783, 797
16, 192
635, 397
176, 650
204, 867
724, 883
502, 54
378, 558
141, 164
594, 456
362, 710
716, 135
364, 804
769, 760
826, 977
611, 731
180, 428
13, 186
895, 982
13, 227
114, 132
543, 543
951, 649
991, 410
7, 451
780, 960
815, 941
434, 605
294, 365
798, 16
151, 889
884, 929
658, 562
197, 739
629, 430
768, 355
60, 579
553, 159
226, 328
261, 631
518, 196
657, 950
910, 292
559, 367
748, 8
798, 388
5, 323
120, 958
254, 811
485, 532
360, 994
630, 554
146, 49
120, 654
603, 226
594, 842
464, 745
83, 145
684, 46
507, 279
256, 534
75, 188
249, 936
171, 576
672, 855
202, 877
855, 146
409, 72
988, 946
317, 169
947, 986
353, 964
180, 328
149, 187
489, 356
916, 586
912, 374
865, 137
14, 881
409, 628
591, 605
600, 983
794, 394
940, 33
902, 376
181, 384
78, 769
115, 261
267, 34
337, 851
868, 249
364, 543
288, 533
236, 590
521, 816
572, 999
349, 565
770, 689
138, 812
797, 960
244, 258
769, 908
433, 536
426, 489
543, 773
340, 599
445, 340
507, 662
656, 278
470, 330
992, 346
98, 887
837, 339
632, 337
931, 246
481, 393
114, 363
114, 90
242, 129
632, 107
240, 557
570, 889
403, 205
300, 377
544, 252
415, 393
640, 587
424, 700
807, 364
247, 98
613, 151
451, 379
513, 931
4, 966
366, 374
667, 733
97, 921
824, 926
971, 493
42, 531
41, 126
252, 395
850, 866
278, 282
478, 387
565, 897
752, 121
321, 556
204, 591
187, 735
341, 879
410, 894
782, 49
562, 371
825, 758
247, 647
658, 749
303, 3
352, 990
996, 107
959, 436
421, 782
849, 272
294, 281
253, 754
804, 906
501, 807
839, 570
82, 315
726, 147
957, 283
597, 677
423, 560
210, 676
385, 778
219, 484
707, 743
890, 359
4, 610
525, 570
223, 10
828, 576
413, 716
913, 714
804, 206
493, 41
156, 72
4, 821
260, 397
906, 63
827, 49
133, 695
142, 995
79, 441
128, 562
516, 9
798, 771
296, 233
